in_store_number,in_store_name,in_address,n_address,n_roadaddress,n_latitude,n_longitude,n_store_type,n_navermap_link,n_telephone,,,,,,,,
110356136,대경푸드,경기도 성남시 수정구 수정로 284,,,37.4497962,127.1467189,*** 한식,,,,,,,,,,
110356557,용달화물,경기도 성남시 분당구 판교원로82번길 30,,,0,0,화물운송>용달,,,,,,,,,,
110356565,키친랩분당서현점,경기도 성남시 분당구 황새울로342번길 15,경기도 성남시 분당구 서현동 250-6,경기도 성남시 분당구 황새울로342번길 15 2층,37.3864232,127.1239372,양식>이탈리아음식,http://www.kitchenlabb.co.kr/,031-702-0555,,,,,,,,
110356912,주식회사 윌,경기도 성남시 분당구 판교역로 235,,,37.4020955,127.1086384,*** 광고,,,,,,,,,,
110357209,오휘컨설턴트,경기도 성남시 수정구 성남대로 1170,,,37.4344847,127.1292202,*** 방문판매,,,,,,,,,,
110357514,부타식당,경기도 성남시 분당구 황새울로258번길 32,,,37.3794322,127.116086,*** 한식,,,,,,,,,,
110357613,데이지,경기도 성남시 수정구 탄리로 14,,,0,0,,,,,,,,,,,
110357696,늘푸른비전학원,경기도 성남시 수정구 제일로 127-1,경기도 성남시 수정구 수진동 3407,경기도 성남시 수정구 제일로 127-1,37.438034,127.1328951,"교육,학문>교습학원",,,,,,,,,,
110358355,오케이마취통증의학과의원,경기도 성남시 분당구 돌마로 47,"경기도 성남시 분당구 금곡동 166 이코노샤르망 2층 202, 203호","경기도 성남시 분당구 돌마로 47 이코노샤르망 2층 202, 203호",37.350385,127.1073771,"병원,의원>마취통증의학과",http://okclinic.net/,031-714-8899,,,,,,,,
110359114,로얄의원,경기도 성남시 수정구 산성대로 439,,,37.4512468,127.1592688,*** 개인병원,,,,,,,,,,
110359759,쩡이순대국,경기도 성남시 수정구 성남대로 1322,,,37.4476782,127.1271156,*** 한식,,,,,,,,,,
110359858,에코줄눈에이스,경기도 성남시 수정구 태평로108번길 3-1,,,37.4506459,127.1385454,"*** 건설,건축  자재",,,,,,,,,,
110360104,채움,경기도 성남시 분당구 선지봉로 8,경기도 성남시 분당구 분당동 176-12,경기도 성남시 분당구 선지봉로 8,37.3658744,127.1416336,한식>쌈밥,,,,,,,,,,
110360583,에스티전기통신주식회사,경기도 성남시 분당구 판교로 338,,,37.4028158,127.1114717,*** 기타제조업,,,,,,,,,,
110360922,샐러드박스 판교에이치스퀘어점,경기도 성남시 분당구 판교역로 231,경기도 성남시 분당구 삼평동 680 에이치스퀘어 지하1층 106호,경기도 성남시 분당구 판교역로 231,37.4012893,127.1086749,"도시락,컵밥>다이어트,샐러드",,031-789-3699,,,,,,,,
110361235,과일,경기도 성남시 수정구 남문로11번길 9,,,0,0,"쇼핑,유통>과일",,,,,,,,,,
110361482,성남야시장 (상대원점),경기도 성남시 중원구 금상로 20,경기도 성남시 중원구 상대원동 2978-14,경기도 성남시 중원구 금상로 20,37.4376967,127.1598574,술집>포장마차,,,,,,,,,,
110362688,메리통신2호점,경기도 성남시 수정구 제일로 154,,,37.4403883,127.1322711,"*** 정보통신기기,컴퓨터",,,,,,,,,,
110363231,뷰티앤미엘,경기도 성남시 분당구 성남대로925번길 16,,,37.4131098,127.1273427,*** 생활잡화,,,,,,,,,,
110364502,판교고등학교,경기 성남시 분당구 동판교로 257,경기도 성남시 분당구 삼평동 706,경기도 성남시 분당구 동판교로 257,37.4053523,127.1147547,"교육,학문>고등학교",http://pangyo.hs.kr/,031-8017-1961,,,,,,,,
110365152,더리틀즈,경기도 성남시 수정구 위례서일로3길 4,경기도 성남시 수정구 창곡동  549-5,경기도 성남시 수정구 위례서일로3길 4,37.4655881,127.1389354,"키즈카페,실내놀이터",,031-758-3966,,,,,,,,
110365186,서현고등학교,경기 성남시 분당구 분당로 87,경기도 성남시 분당구 서현동 91-1,경기도 성남시 분당구 분당로 87,37.3815343,127.1238243,"교육,학문>고등학교",http://www.seohyun.hs.kr/,,,,,,,,,
110365426,몽까이,경기도 성남시 분당구 정자일로 55,경기도 성남시 분당구 금곡동 192,경기도 성남시 분당구 정자일로 55 103동 101호,37.3553336,127.1052144,음식점>베트남음식,,,,,,,,,,
