소재지,가맹점번호,가맹점명,세부주소
성남시분당구,490839,예손치과,경기  성남시  분당구  서현동
성남시분당구,584763,바다복집,경기  성남시  분당구  수내동
성남시분당구,835819,오에이프라자,경기  성남시  분당구  수내동
성남시분당구,887794,분당스코필드,경기  성남시  분당구  서현동
성남시분당구,963264,KT 로밍센터,경기  성남시  분당구  정자동
성남시분당구,1666296,진스플라워(삼성플라자),경기  성남시  분당구  서현동
성남시분당구,1701200,중앙한미캐드정보처리학원,경기  성남시  분당구  야탑동
성남시분당구,1768415,천사플라워,경기  성남시  분당구  백현동
성남시분당구,1871516,신환기업,경기  성남시  분당구  수내동
성남시분당구,2957488,(주)솜피,경기  성남시  분당구  삼평동
성남시분당구,3156858,안경박사,경기  성남시  분당구  수내동
성남시분당구,3359015,세반안경,경기  성남시  분당구  수내동
성남시분당구,3526118,예본건강,경기  성남시  분당구  정자동
성남시분당구,3838729,분당메디칼약국,경기  성남시  분당구  구미동
성남시분당구,3875606,생선초밥집,경기  성남시  분당구  수내동
성남시분당구,3956687,아방스,경기  성남시  분당구  수내동
성남시분당구,3984010,ㅛ도카아트,경기  성남시  분당구  정자동
성남시분당구,4295044,분당난플라워,경기  성남시  분당구  서현동
성남시분당구,4632162,일휴원  분재원,경기  성남시  분당구  금곡동
성남시분당구,4700878,삼보당약국,경기  성남시  분당구  분당동
성남시분당구,4710646,신분당플라워,경기  성남시  분당구  백현동
성남시분당구,5353214,백만송이,경기  성남시  분당구  백현동
성남시분당구,5564349,아름화원,경기 성남시 분당구 백현동
성남시분당구,5620927,대호갈비,경기  성남시  분당구  판교동
성남시분당구,5651047,베를린악기,경기  성남시  분당구  정자일로
성남시분당구,6054894,자연꽃란식물원,경기  성남시  분당구  삼평동
성남시분당구,6471023,인스타일,경기  성남시  분당구  수내동
성남시분당구,6708986,솔로몬카프라자,경기  성남시  분당구  분당동
성남시분당구,7180383,구인약국,경기  성남시  분당구  구미동
성남시분당구,7238058,주영광  안경원,경기  성남시  분당구  구미동
성남시분당구,7601412,금호종합메리야스,경기  성남시  분당구  수내동
성남시분당구,7799075,한솔마트,경기  성남시  분당구  정자동
성남시분당구,8194862,은혜화장품,경기  성남시  분당구  이매동
성남시분당구,8201949,성남농협야탑역지점,경기  성남시  분당구  야탑동
성남시분당구,8256265,세교물산,경기  성남시  분당구  수내동
성남시분당구,8550220,천하대장군,경기  성남시  분당구  분당동
성남시분당구,8581506,마니주,경기  성남시  분당구  수내동
성남시분당구,8981623,로얄골프클럽,경기  성남시  분당구  수내동
성남시분당구,9824863,붕붕카센타,경기  성남시  분당구  정자동
성남시분당구,9875204,제생의료기,경기  성남시  분당구  서현동
성남시분당구,10063048,아진통신,경기  성남시  분당구  서현동
성남시분당구,10142578,서림약국,경기  성남시  분당구  판교로
성남시분당구,10205169,분당동물병원,경기  성남시  분당구  이매동
성남시분당구,10264166,서울미래치과의원,경기  성남시  분당구  구미동
성남시분당구,10656775,분당유리,경기  성남시  분당구  서현동
성남시분당구,10699007,이동준골프스쿨,경기  성남시  분당구  미금로
성남시분당구,10752988,전주명가,경기  성남시  분당구  야탑동
성남시분당구,10802288,안중진치과의원,경기  성남시  분당구  야탑동
성남시분당구,10888386,박상복치과의원,경기  성남시  분당구  서현동
성남시분당구,10913689,청정한의원,경기  성남시  분당구  구미동
성남시분당구,11136199,홍안과의원,경기  성남시  분당구  야탑동
성남시분당구,11226065,선내과,경기  성남시  분당구  구미동
성남시분당구,11303799,현내과의원,경기  성남시  분당구  금곡동
성남시분당구,11331337,오토뱅크카센타,경기 성남시 분당구 정자동
성남시분당구,11471414,양형길한의원,경기  성남시  분당구  이매동
성남시분당구,11503810,(주)까사미아분당전시장,경기  성남시  분당구  서현동
성남시분당구,11513744,미탑플러스의원,경기  성남시  분당구  금곡동
성남시분당구,11523008,상탑성모의원,경기  성남시  분당구  야탑동
성남시분당구,11594066,김홍철이비인후과,경기  성남시  분당구  정자동
성남시분당구,11899366,한국스피치교육센타,경기  성남시  분당구  야탑동
성남시분당구,11986403,장미마을현대약국,경기  성남시  분당구  정자동
성남시분당구,12045076,솔로몬,경기  성남시  분당구  구미동
성남시분당구,12120275,(주)서린바이오사이언스,경기  성남시  분당구  삼평동
성남시분당구,12143178,문치과,경기  성남시  분당구  이매동
성남시분당구,12193199,낙생농협신기동지소,경기  성남시  분당구  정자동
성남시분당구,12193710,낙생농협미금지점,경기  성남시  분당구  구미동
성남시분당구,12193736,낙생농업협동조합,경기  성남시  분당구  판교동
성남시분당구,12207528,안동한우마을,경기  성남시  분당구  서현동
성남시분당구,12293445,예산모바일점,경기  성남시  분당구  서현동
성남시분당구,12520284,온누리새한솔약국,경기  성남시  분당구  정자동
성남시분당구,12648911,영인꽃직매장,경기  성남시  분당구  백현동
성남시분당구,12708905,난이랑,경기  성남시  분당구  삼평동
성남시분당구,12798294,하늘이농원,경기  성남시  분당구  서현동
성남시분당구,13056007,바른이치과,경기  성남시  분당구  금곡동
성남시분당구,13133913,분당세무회계사무소,경기  성남시  분당구  서현동
